idx,shopify_id,titulo_shopify,url_resuelta,score,sospechoso
67,15509677736323,CALIBRA DOG LIFE JUNIOR MEDIUM BREED POLLO,https://www.mycalibra.es/calibra-dog-life-junior-medium-breed-chicken,0.93,
68,15509677834627,CALIBRA DOG LIFE JUNIOR SMALL & MEDIUM FRESH TERNERA 12KG,https://www.mycalibra.es/calibra-dog-life-junior-small-medium-fresh-beef,0.88,
69,15509677932931,"CALIBRA DOG LIFE JUNIOR SMALL BREED POLLO 1,5KG",https://www.mycalibra.es/calibra-dog-life-junior-small-breed-chicken,1.00,
70,15509677965699,CALIBRA DOG LIFE JUNIOR SMALL&MEDIUM BREED CORDERO,https://www.mycalibra.es/calibra-dog-life-junior-small-medium-breed-lamb,0.93,
71,15509678064003,CALIBRA DOG LIFE LATA ADULT CORDERO 6X400GR,https://www.mycalibra.es/calibra-dog-life-adult-lamb-400g,0.75,
72,15509678129539,CALIBRA DOG LIFE LATA ADULT JABALÍ CON ARANDANOS 6X400GR,https://www.mycalibra.es/calibra-dog-life-adult-lamb-400g,0.50,
73,15509678162307,CALIBRA DOG LIFE LATA ADULT PATO Y ARROZ 6X400GR,https://www.mycalibra.es/calibra-dog-life-adult-duck-with-rice-400g,0.73,
74,15509678227843,CALIBRA DOG LIFE LATA ADULT PAVO CON MANZANAS 6X400GR,https://www.mycalibra.es/calibra-dog-life-adult-turkey-with-apples-400g,0.60,
75,15509678293379,CALIBRA DOG LIFE LATA ADULT POLLO Y ARROZ 6X400GR,https://www.mycalibra.es/calibra-dog-life-adult-chicken-with-rice-400g,0.73,
76,15509678326147,CALIBRA DOG LIFE LATA ADULT TERNERA CON ZANAHORÍAS 6X400GR,https://www.mycalibra.es/calibra-dog-life-adult-beef-with-carrots-400g,0.53,
77,15509678391683,CALIBRA DOG LIFE LATA PUPPY&JUNIOR CORDERO Y ARROZ 6X400GR,https://www.mycalibra.es/calibra-dog-life-puppy-junior-lamb-rice-400g,0.80,
78,15509678457219,CALIBRA DOG LIFE LATA PUPPY&JUNIOR POLLO Y ARROZ 6X400GR,https://www.mycalibra.es/calibra-dog-life-puppy-junior-chicken-rice-400g,0.80,
79,15509678522755,CALIBRA DOG LIFE LATA SENSITIVE CONEJO 6X400GR,https://www.mycalibra.es/calibra-dog-life-sensitive-rabbit-400g,0.75,
80,15509678555523,CALIBRA DOG LIFE LATA SENSITIVE SALMON Y ARROZ 6X400GR,https://www.mycalibra.es/calibra-dog-life-sensitive-salmon-with-rice-400g,0.71,
81,15509678653827,CALIBRA DOG LIFE SENIOR LARGE FRESH TERNERA 12KG,https://www.mycalibra.es/calibra-dog-life-senior-large-fresh-beef,0.86,
82,15509678686595,CALIBRA DOG LIFE SENIOR MEDIUM & LARGE POLLO,https://www.mycalibra.es/calibra-dog-life-senior-medium-large-chicken,0.92,
83,15509678784899,CALIBRA DOG LIFE SENIOR MEDIUM FRESH TERNERA 12KG,https://www.mycalibra.es/calibra-dog-life-senior-medium-fresh-beef,0.87,
84,15509678850435,"CALIBRA DOG LIFE SENIOR SMALL BREED CORDERO 1,5KG",https://www.mycalibra.es/calibra-dog-life-senior-small-breed-lamb,1.00,
85,15509678948739,CALIBRA DOG LIFE SENIOR SMALL FRESH TERNERA,https://www.mycalibra.es/calibra-dog-life-senior-small-fresh-beef,0.79,
86,15509679014275,CALIBRA DOG LIFE STARTER & PUPPY CORDERO,https://www.mycalibra.es/calibra-dog-life-starter-puppy-lamb,0.92,
87,15509679112579,CALIBRA DOG LIFE STARTER & PUPPY FRESH TERNERA 12KG,https://www.mycalibra.es/calibra-dog-life-starter-puppy-fresh-beef,0.87,
88,15509679243651,CALIBRA DOG LIFE POUCH ADULT POLLO 10X150G,https://www.mycalibra.es/calibra-dog-life-adult-large-breed-chicken,0.64,
89,15509679178115,CALIBRA DOG LIFE POUCH ADULT TERNERA 10X150G,https://www.mycalibra.es/calibra-dog-life-adult-beef-with-carrots-400g,0.56,
90,15509679309187,CALIBRA DOG LIFE POUCH PUPPY&JUNIOR BEEF 10X150G,https://www.mycalibra.es/calibra-dog-life-junior-large-fresh-beef,0.69,
91,15509679374723,CALIBRA DOG LIFE POUCH PUPPY&JUNIOR POLLO 10X150G,https://www.mycalibra.es/calibra-dog-life-junior-large-breed-chicken,0.67,
92,15509679407491,CALIBRA DOG PREMIUM CON CORDERO Y POLLO LATA 12X1240G,https://www.mycalibra.es/calibra-dog-premium-can-with-lamb-chicken-1240g,0.62,
93,15509679538563,CALIBRA DOG PREMIUM CON VACUNO JELLY LATA 12X1240G,https://www.mycalibra.es/calibra-dog-premium-line-adult-12-kg-new,0.33,REVISAR
94,15509679735171,CALIBRA DOG PREMIUM LINE ADULT LARGE POLLO,https://www.mycalibra.es/calibra-dog-premium-line-adult-large-12-kg-new,0.73,
95,15509679833475,CALIBRA DOG PREMIUM LINE ADULT POLLO,https://www.mycalibra.es/calibra-dog-premium-line-adult-12-kg-new,0.70,
96,15509679964547,CALIBRA DOG PREMIUM LINE ADULT SENSITIVE CORDERO,https://www.mycalibra.es/calibra-dog-premium-line-adult-12-kg-new,0.58,
97,15509680128387,CALIBRA DOG PREMIUM LINE ADULT TERNERA,https://www.mycalibra.es/calibra-dog-premium-line-adult-beef-12-kg-new,0.75,
98,15509680161155,CALIBRA DOG PREMIUM LINE JUNIOR LARGE POLLO 12KG,https://www.mycalibra.es/calibra-dog-premium-line-junior-large-12-kg-new,0.69,
99,15509680193923,CALIBRA DOG PREMIUM LINE PUPPY JUNIOR POLLO,https://www.mycalibra.es/calibra-dog-premium-line-puppy-junior-12-kg-new,0.73,
100,15509680357763,CALIBRA DOG PREMIUM LINE SENIOR LIGHT POLLO,https://www.mycalibra.es/calibra-dog-premium-line-senior-light-12-kg-new,0.75,
101,15509680554371,CALIBRA DOG VERVE SNACK SEMIHÚMEDO ARENQUE FRESCO 150G,https://www.mycalibra.es/calibra-dog-verve-crunchy-snack-fresh-salmon-150g,0.50,
